stomach,heart,tongue,kidney,liver,brain,thymus,spleen,lung,adrenal gland,cord_blood,cordBlood_groups
GSM760473,GSM760437,GSM760452,GSM760463,GSM760439,GSM760459,GSM868063,GSM868065,GSM868072,GSM868082,GSM1873596 ,Ctrl1_a
GSM760450,GSM868040,GSM868045,GSM760438,GSM868052,GSM868056,GSM868064,GSM868066,GSM868073,GSM868083,GSM1873597 ,Ctrl1_b
GSM760451,GSM868041,GSM868046,GSM868047,GSM868053,GSM868057,,GSM868069,GSM868074,GSM760456,GSM1873598 ,Ctrl1_c
GSM868032,GSM868042,,GSM868048,GSM868054,GSM868058,,GSM760449,GSM868077,GSM760426,GSM1873599 ,Ctrl2_a
GSM868033,GSM868044,,GSM868049,GSM868055,GSM868059,,,GSM868078,,GSM1873600 ,Ctrl2_b
GSM868035,,,GSM868050,,,,,GSM868079,,GSM1873601 ,Ctrl2_c
GSM868036,,,GSM868051,,,,,GSM760465,,GSM1873602 ,Ctrl3_a
GSM868037,,,,,,,,GSM760441,,GSM1873603 ,Ctrl3_b
,,,,,,,,,,GSM1873604 ,Ctrl3_c
,,,,,,,,,,GSM1873605 ,Ctrl4_a
,,,,,,,,,,GSM1873606 ,Ctrl4_b
,,,,,,,,,,GSM1873607 ,Ctrl4_c
,,,,,,,,,,GSM1873608 ,Ctrl5_a
,,,,,,,,,,GSM1873609 ,Ctrl5_b
,,,,,,,,,,GSM1873610 ,Ctrl5_c
