title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	tissue	strain	age (years)	gender	genetic condition	diet	local_files
20D02	GSM2132712	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard	GSM2132712_20D02.overlap.txt.gz
20D03	GSM2132713	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard	GSM2132713_20D03.overlap.txt.gz
20D04	GSM2132714	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard	GSM2132714_20D04.overlap.txt.gz
20D05	GSM2132715	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard	GSM2132715_20D05.overlap.txt.gz
20D06	GSM2132716	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard	GSM2132716_20D06.overlap.txt.gz
20D07	GSM2132717	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard	GSM2132717_20D07.overlap.txt.gz
35D01	GSM2132718	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard	GSM2132718_35D01.overlap.txt.gz
35D02	GSM2132719	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard	GSM2132719_35D02.overlap.txt.gz
35D04	GSM2132720	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard	GSM2132720_35D04.overlap.txt.gz
35D05	GSM2132721	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard	GSM2132721_35D05.overlap.txt.gz
