title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	tissue	strain	age (years)	gender	genetic condition	diet
20D02	GSM2132712	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard
20D03	GSM2132713	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard
20D04	GSM2132714	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard
20D05	GSM2132715	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard
20D06	GSM2132716	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard
20D07	GSM2132717	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	0.67	Male	Wild Type	standard
35D01	GSM2132718	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard
35D02	GSM2132719	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard
35D04	GSM2132720	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard
35D05	GSM2132721	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard
35D06	GSM2132722	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard
35D07	GSM2132723	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	1.17	Male	Wild Type	standard
B6_CR1001	GSM2132724	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	Calorie Restricted
B6_CR1002	GSM2132725	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	Calorie Restricted
B6_CR1003	GSM2132726	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	Calorie Restricted
B6_CR1004	GSM2132727	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	Calorie Restricted
B6_CR1005	GSM2132728	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	Calorie Restricted
B6_CR1801	GSM2132729	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	18	Male	Wild Type	Calorie Restricted
B6_CR1802	GSM2132730	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	18	Male	Wild Type	Calorie Restricted
B6_CR1803	GSM2132731	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	18	Male	Wild Type	Calorie Restricted
B6_CR1804	GSM2132732	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	18	Male	Wild Type	Calorie Restricted
B6_CR1805	GSM2132733	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	18	Male	Wild Type	Calorie Restricted
B6_CR2301	GSM2132734	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	23	Male	Wild Type	Calorie Restricted
B6_CR2302	GSM2132735	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	23	Male	Wild Type	Calorie Restricted
B6_CR2303	GSM2132736	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	23	Male	Wild Type	Calorie Restricted
B6_CR2304	GSM2132737	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	23	Male	Wild Type	Calorie Restricted
B6_CR2305	GSM2132738	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	23	Male	Wild Type	Calorie Restricted
B6_CR2701	GSM2132739	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	27	Male	Wild Type	Calorie Restricted
B6_CR2702	GSM2132740	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	27	Male	Wild Type	Calorie Restricted
B6_CR2703	GSM2132741	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	27	Male	Wild Type	Calorie Restricted
B6_CR2704	GSM2132742	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	27	Male	Wild Type	Calorie Restricted
B6_CR2705	GSM2132743	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	27	Male	Wild Type	Calorie Restricted
M0301	GSM2132820	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0302	GSM2132821	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0303	GSM2132822	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0304	GSM2132823	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0305	GSM2132824	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0306	GSM2132825	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0308	GSM2132826	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0309	GSM2132827	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0310	GSM2132828	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	3	Male	Wild Type	standard
M0401	GSM2132829	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0402	GSM2132830	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0403	GSM2132831	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0404	GSM2132832	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0405	GSM2132833	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0406	GSM2132834	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0407	GSM2132835	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
M0409	GSM2132836	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	4	Male	Wild Type	standard
